subtask,seed,bin,bin_label,gap_lo,gap_hi,n,apiar_sr,repo_sr,delta_sr,apiar_srxsim,repo_srxsim,delta_srxsim
MR,42,4,"Q4 (93.59, 102.92]",93.58560000000004,102.91720000000005,1000,0.221,0.24,-0.01899999999999999,0.15287256260475404,0.1671166954921435,-0.01424413288738946
MR,42,5,"Q5 (102.92, 142.84]",102.91720000000005,142.84099999999984,1000,0.228,0.259,-0.031,0.16475434664300873,0.1839792932672832,-0.019224946624274486
MR,123,1,"Q1 (19.97, 74.51]",19.9708,74.50686000000005,1000,0.234,0.194,0.04000000000000001,0.15195441889982045,0.12178347873075822,0.03017094016906223
MR,123,2,"Q2 (74.51, 84.89]",74.50686000000005,84.88508000000003,1000,0.252,0.236,0.016000000000000014,0.1702557977435065,0.15936983663747636,0.010885961106030129
MR,123,3,"Q3 (84.89, 93.59]",84.88508000000003,93.58560000000004,1000,0.261,0.207,0.05400000000000002,0.1814007136119937,0.14354235492393116,0.03785835868806253
MR,123,4,"Q4 (93.59, 102.92]",93.58560000000004,102.91720000000005,1000,0.226,0.218,0.008000000000000007,0.1612715377329153,0.15725030594857195,0.004021231784343354
MR,123,5,"Q5 (102.92, 142.84]",102.91720000000005,142.84099999999984,1000,0.251,0.204,0.047000000000000014,0.18353486289595872,0.14907750767067873,0.034457355225279984
MR,456,1,"Q1 (19.97, 74.51]",19.9708,74.50686000000005,1000,0.219,0.192,0.026999999999999996,0.13100882074252446,0.12200226370774843,0.009006557034776028
MR,456,2,"Q2 (74.51, 84.89]",74.50686000000005,84.88508000000003,1000,0.229,0.198,0.031,0.1532969017808903,0.131410699610135,0.02188620217075532
MR,456,3,"Q3 (84.89, 93.59]",84.88508000000003,93.58560000000004,1000,0.226,0.209,0.017000000000000015,0.15382448260000206,0.14543236369219345,0.00839211890780861
MR,456,4,"Q4 (93.59, 102.92]",93.58560000000004,102.91720000000005,1000,0.257,0.204,0.05300000000000002,0.1766217340419115,0.14260002628173923,0.03402170776017227
MR,456,5,"Q5 (102.92, 142.84]",102.91720000000005,142.84099999999984,1000,0.254,0.203,0.05099999999999999,0.1798596583672507,0.14904881708690282,0.03081084128034789
QED,42,1,"Q1 (0.05, 0.15]",0.05290661701388022,0.1457055716678858,1000,0.193,0.163,0.03,0.130866437272943,0.11049293781268256,0.020373499460260444
QED,42,2,"Q2 (0.15, 0.20]",0.1457055716678858,0.2045502443593647,1000,0.169,0.169,0.0,0.11016952962402203,0.11388795444929277,-0.0037184248252707386
QED,42,3,"Q3 (0.20, 0.27]",0.2045502443593647,0.27406625372236393,1000,0.186,0.152,0.034,0.12646651264410447,0.10421932355014173,0.02224718909396274
QED,42,4,"Q4 (0.27, 0.38]",0.27406625372236393,0.37654702014276853,1000,0.156,0.152,0.0040000000000000036,0.10548903992574996,0.10163644173394384,0.0038525981918061114
QED,42,5,"Q5 (0.38, 0.82]",0.37654702014276853,0.8209692736620064,1000,0.173,0.136,0.03699999999999998,0.12488084616781764,0.09689015071949976,0.02799069544831788
QED,123,1,"Q1 (0.05, 0.15]",0.05290661701388022,0.1457055716678858,1000,0.17,0.141,0.029000000000000026,0.11394574189406258,0.095049610412438,0.018896131481624584
QED,123,2,"Q2 (0.15, 0.20]",0.1457055716678858,0.2045502443593647,1000,0.153,0.15,0.0030000000000000027,0.10444048363000592,0.10144644390707613,0.0029940397229297894
QED,123,3,"Q3 (0.20, 0.27]",0.2045502443593647,0.27406625372236393,1000,0.176,0.144,0.032,0.11864897162418941,0.09624655369905957,0.02240241792512984
QED,123,4,"Q4 (0.27, 0.38]",0.27406625372236393,0.37654702014276853,1000,0.155,0.141,0.014000000000000012,0.10751443590725722,0.0972475135025909,0.010266922404666326
QED,123,5,"Q5 (0.38, 0.82]",0.37654702014276853,0.8209692736620064,1000,0.16,0.131,0.028999999999999998,0.11145240347101222,0.08996382291898831,0.021488580552023906
QED,456,1,"Q1 (0.05, 0.15]",0.05290661701388022,0.1457055716678858,1000,0.211,0.146,0.065,0.14142030738502995,0.10063038426793923,0.04078992311709072
QED,456,2,"Q2 (0.15, 0.20]",0.1457055716678858,0.2045502443593647,1000,0.206,0.161,0.044999999999999984,0.13959763429153302,0.11248017110048648,0.027117463191046534
QED,456,3,"Q3 (0.20, 0.27]",0.2045502443593647,0.27406625372236393,1000,0.213,0.173,0.04000000000000001,0.14206149288912337,0.12023045117848091,0.021831041710642457
QED,456,4,"Q4 (0.27, 0.38]",0.27406625372236393,0.37654702014276853,1000,0.19,0.149,0.04100000000000001,0.12690666396265052,0.10619790622724701,0.02070875773540351
QED,456,5,"Q5 (0.38, 0.82]",0.37654702014276853,0.8209692736620064,1000,0.219,0.144,0.07500000000000001,0.15311916779386553,0.10125297249664997,0.05186619529721556
